店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
全席完全個室居酒屋 食べ放題 こころ 新宿本店,050-5492-1449,,東京都,新宿区歌舞伎町,1-15-8,2F,,
ルーフトップビアガーデン 新宿店,050-5484-2285,,東京都,新宿区歌舞伎町,1-15-8,丸雄ビル屋上,,
屋上ビアガーデン× BBQ Nick Meat 新宿東口店,050-5486-7375,,東京都,新宿区歌舞伎町,1-21-1,屋上,,
BBQ ＆ シュラスコ ビアガーデン 天空テラス 新宿店,050-5486-8706,,東京都,新宿区歌舞伎町,1-21-1,第二東亜会館 屋上,,
炙り肉寿司＆焼き鳥 3時間食べ飲み放題 黒帯 新宿東口店,03-6380-6659,,東京都,新宿区歌舞伎町,1-6-6,,,
シュラスコ＆ビアバー ゴッチバッタ 新宿,050-5494-8483,,東京都,新宿区歌舞伎町,1-6-14,B1,,
屋内ビアガーデン＆BBQ食べ放題 ワイワイTOKYO 新宿店,050-5489-3773,,東京都,新宿区歌舞伎町,1-12-6,歌舞伎町ビルB1,,
鍋ぞう 新宿明治通り店,050-5486-3502,,東京都,新宿区新宿,3-5-4,レインボービレッジビル7F,,
個室居酒屋 6年4組 新宿東口駅前分校,050-5484-7122,,東京都,新宿区歌舞伎町,1-16-3,新宿スクエアビル9F,,
もつ鍋＆肉炙り寿司食べ放題 SUIGETSU 新宿駅前店,050-5492-0272,,東京都,新宿区歌舞伎町,1-17-5,第二安田ビル4F,,
牛角 新宿歌舞伎町店,050-5488-7980,,東京都,新宿区歌舞伎町,1-21-2,伊藤ビル内,,
2000円 食べ放題飲み放題 居酒屋 おすすめ屋 新宿歌舞伎町店,050-5492-3154,,東京都,新宿区歌舞伎町,1-14-3,川新ビル7F,,
鳥元 新宿店,050-5493-7393,,東京都,新宿区歌舞伎町,1-14-3,第103東京ビル3F,,
焼き鳥食べ放題 完全個室居酒屋 鳥三平 新宿店,050-5488-1145,,東京都,新宿区新宿,3-31-5,B1,,
新宿 シュラスコ肉酒場 BONE,050-5484-9324,,東京都,新宿区新宿,3-8-9,平生ビル10F,,
肉バル アモーレ 新宿店,050-5484-3166,,東京都,新宿区新宿,3-34-3,B2,,
李宮 新宿アイランド,050-5489-0486,,東京都,新宿区西新宿,6-5-1,新宿アイランドタワーB1,,
中華料理 蜀香園【ショクコウエン】 日土地西新宿ビル,050-5484-4836,,東京都,新宿区西新宿,6-10-1,日土地西新宿ビル2F,,
全品食べ飲み放題専門店 個室肉バル ミルザ 新宿店,050-5434-0252,,東京都,新宿区歌舞伎町,1-13-5,2F,,
MKレストラン 新宿店,050-5485-9267,,東京都,新宿区新宿,3-13-3,新宿文化ビル3F,,
全100種食べ放題飲み放題 個室居酒屋 鶏三昧 新宿東口店,050-5492-2529,,東京都,新宿区歌舞伎町,1-17-5,Jビル3F,,
食べ放題居酒屋 絆 KIZUNA 新宿店,050-5488-7729,,東京都,新宿区歌舞伎町,1-23-12,第10NKビル4F,,
上海酒場 代々木西口店,050-5484-9291,,東京都,渋谷区代々木,1-31-12,日綜ビル1F,,
屋内ビアガーデン AMIGO‐アミーゴ‐ 新宿本店,050-5492-1305,,東京都,新宿区歌舞伎町,1-18-5,B2,,
鹿児島黒毛和牛 炭火焼肉食べ放題 肉善 新宿店,050-5487-9688,,東京都,新宿区歌舞伎町,1-22-6,富士ビル1F,,
24時間 鹿児島黒毛和牛＆肉寿司食べ放題 No．1焼肉居酒屋 新宿店,050-5484-8984,,東京都,新宿区歌舞伎町,1-8-3,FCCビル1F,,
台北夜市 新宿NSビル店,050-5486-1259,,東京都,新宿区西新宿,2-4-1,新宿NSビル29F,,
マーブルラウンジ,050-5486-2810,,東京都,新宿区西新宿,6-6-2,ヒルトン東京1F,,
鮮魚と和牛 個室居酒屋 トロ一（とろいち）新宿本店,050-5493-6426,,東京都,新宿区歌舞伎町,1-18-5,,,
メトロポリタングリル,050-5484-9987,,東京都,新宿区西新宿,6-6-2,ヒルトン東京2F,,
個室肉バル ウォルトンズ 新宿店,050-5434-0251,,東京都,新宿区歌舞伎町,1-17-6,アツミビル2F,,
シュラスコ食べ放題＆フランベステーキ 肉バル Fire＆Ice 新宿,050-5492-8641,,東京都,新宿区歌舞伎町,1-23-13,下村ビル4F,,
中国料理 「王朝」,050-5485-3878,,東京都,新宿区西新宿,6-6-2,ヒルトン東京2F,,
個室肉バル クオッカ 新宿店,050-5434-0255,,東京都,新宿区西新宿,7-5-6,新宿ダイカンプラザ756 2F,,
中華火鍋 食べ放題 南国亭 新宿店,050-5484-2457,,東京都,新宿区新宿,5-18-20,,,
シュラスコレストラン ALEGRIA shinjukuアレグリア新宿,050-5486-7952,,東京都,渋谷区千駄ヶ谷,5-30-10,MEPO2 2F,,
全席個室 九州地鶏居酒屋 肉寿司×焼鳥食べ放題 炭鶏 新宿店,050-5494-5800,,東京都,新宿区歌舞伎町,1-17-5,3F,,
肉食べ放題＆緑の屋内ビアガーデン ボエム‐Boheme‐ 新宿店,050-5494-2162,,東京都,新宿区歌舞伎町,1-12-2,第58東京ビル4F,,
いこい家,050-5492-5671,,東京都,新宿区歌舞伎町,1-17-7,リカムビル5F,,
ハヌリ 新宿歌舞伎町ゴジラ通り店,050-5486-4923,,東京都,新宿区歌舞伎町,1-18-9,9F,,
新宿・宴会・個室 銀座ライオン,03-3352-6612,,東京都,新宿区新宿,3-28-9,6F,,
個室×肉バルダイニング 食べ放題 にく楽 新宿東口店,070-3194-0486,,東京都,新宿区歌舞伎町,1-15-8,丸雄ビル4F,,
本格中華料理 個室空間 皇記 新宿店,050-5484-0615,,東京都,渋谷区代々木,2-13-8,エスト新宿ビルB1,,
台湾料理食べ放題 台北夜市 小田急第一生命ビル店,050-5486-1267,,東京都,新宿区西新宿,2-7-1,小田急第一生命ビル1F,,
シュラスコ＆肉寿司食べ放題 ミートファクトリー 新宿店,050-5492-1272,,東京都,新宿区歌舞伎町,1-22-6-2階,,,
ぶあいそ 別邸 新宿パークタワー店,050-5485-7901,,東京都,新宿区西新宿,3-7-1,新宿パークタワーB1,,
スーパーブッフェ グラスコート,050-5487-0451,,東京都,新宿区西新宿,2-2-1,京王プラザホテル2F,,
ダイニングバー ～ARASHI～,050-5492-6777,,東京都,新宿区歌舞伎町,2-45-4,与三郎ビル4F,,
貸切パーティーダイニング GOLD MONKEY 新宿東口店,050-5492-4970,,東京都,新宿区歌舞伎町,2-37-5,日新ビル3F,,
個室食べ飲み放題 中華居酒屋 佳宴～かえん～ 新宿店,050-5488-1330,,東京都,新宿区新宿,5-10-4,HYDビル1F,,
